output_file,column,unit,description
summary_session.csv,session_duration_s,s,Duração total da sessão (max-min de SessionTime).
summary_session.csv,n_samples,contagem,Número de amostras (frames) de eye-tracking.
summary_session.csv,sampling_rate_hz,Hz,Taxa de amostragem configurada.
summary_session.csv,n_activities,contagem,Número de atividades distintas registradas.
summary_session.csv,mean_residual_pupil_mm,mm,Média da pupila residual (diâmetro observado menos previsto pelo modelo Eckert/PLR).
summary_session.csv,mean_raw_pupil_mm,mm,"Média do diâmetro pupilar bruto (AvgPupil, sem correção)."
summary_session.csv,mean_gaze_entropy_bits,bits,"Média da entropia espacial do olhar (Shannon, base 2) em janela móvel."
summary_session.csv,task_dwell_s,s,Tempo total olhando VOIs de tarefa (área de trabalho genérica).
summary_session.csv,item_dwell_s,s,"Tempo total olhando itens interativos (cacau, faca, semente, panela, manteiga, leite, açúcar...)."
summary_session.csv,machine_dwell_s,s,"Tempo total olhando máquinas (Grinder, Mixer, Dehumidifier, Toaster, Peeler...)."
summary_session.csv,tutorial_dwell_s,s,Tempo total olhando painéis de tutorial (Paper_*/Writebook_*).
summary_session.csv,support_dwell_s,s,Tempo total olhando áreas de suporte genérico (parede/quadro/chão).
summary_session.csv,tutorial_dwell_pct,%,tutorial_dwell_s como porcentagem da duração da sessão.
summary_session.csv,n_rescue_saccades,contagem,Número de sacadas de socorro (transição tarefa->tutorial).
summary_session.csv,gaze_transition_entropy_bits,bits,"Entropia estacionária de fixação Hs (Krejtz et al., 2015): dispersão da atenção entre AOIs. Absoluta, comparável entre sessões."
summary_session.csv,transition_entropy_bits,bits,"Entropia de transição Ht (Krejtz et al., 2015): imprevisibilidade das transições entre AOIs. Valores altos = busca errática."
summary_session.csv,mean_k_coefficient,z-score,"Coeficiente K médio ambient/focal (Krejtz et al., 2016). K>0 = atenção focal (leitura/foco); K<0 = atenção ambiente (busca/exploração)."
summary_session.csv,confusion_time_s,s,Tempo total em episódios de confusão/busca visual.
summary_session.csv,confusion_pct,%,confusion_time_s como porcentagem da duração da sessão.
summary_session.csv,n_confusion_episodes,contagem,Número de episódios de confusão detectados.
summary_session.csv,blink_count,contagem,Número de amostras marcadas como piscada.
summary_session.csv,plr_model,texto,Modelo de mapeamento luminância->pupila do filtro de Eckert (log/poly2/sigmoid).
summary_session.csv,plr_baseline_mm,mm,Diâmetro pupilar de base estimado pelo modelo Eckert.
summary_session.csv,plr_k,adimensional,Ganho k do reflexo fotomotor (quanto a pupila contrai por década de luminância).
summary_session.csv,plr_rmse_mm,mm,Erro RMS entre pupila observada e predita pelo PLR (qualidade do ajuste).
summary_session.csv,plr_r2,adimensional,R² do ajuste do modelo Eckert (fração da variância pupilar explicada pela luminância).
summary_session.csv,plr_calibrated,booleano,Se o modelo usou CSV de calibração por participante (True) ou parâmetros padrão (False).
summary_by_activity.csv,activity,texto,"Rótulo da atividade (CortarCacau, SecarSemente, ...)."
summary_by_activity.csv,duration_s,s,Duração acumulada de todos os trechos da atividade.
summary_by_activity.csv,n_samples,contagem,Número de amostras na atividade.
summary_by_activity.csv,mean_residual_pupil_mm,mm,Média da pupila residual na atividade.
summary_by_activity.csv,mean_gaze_entropy_bits,bits,Média da entropia espacial do olhar na atividade.
summary_by_activity.csv,task_dwell_s,s,Tempo olhando VOIs de tarefa na atividade.
summary_by_activity.csv,tutorial_dwell_s,s,Tempo olhando tutoriais na atividade.
summary_by_activity.csv,support_dwell_s,s,Tempo olhando suporte genérico na atividade.
summary_by_activity.csv,tutorial_dwell_pct,%,tutorial_dwell_s como % da duração da atividade.
summary_by_activity.csv,n_rescue_saccades,contagem,Sacadas de socorro na atividade.
summary_by_activity.csv,confusion_time_s,s,Tempo em confusão na atividade.
summary_by_activity.csv,confusion_pct,%,confusion_time_s como % da duração da atividade.
summary_by_activity.csv,n_confusion_episodes,contagem,Episódios de confusão na atividade.
summary_by_phase.csv,phase,texto,Nome da fase/etapa registrada no Unity.
summary_by_phase.csv,duration_s,s,Duração da fase.
summary_by_phase.csv,n_samples,contagem,Número de amostras na fase.
summary_by_phase.csv,mean_residual_pupil_mm,mm,Média da pupila residual na fase.
summary_by_phase.csv,mean_gaze_entropy_bits,bits,Média da entropia do olhar na fase.
summary_by_phase.csv,tutorial_dwell_s,s,Tempo olhando tutoriais na fase.
summary_by_phase.csv,support_dwell_s,s,Tempo olhando suporte genérico na fase.
summary_by_phase.csv,n_rescue_saccades,contagem,Sacadas de socorro na fase.
summary_by_phase.csv,confusion_time_s,s,Tempo em confusão na fase.
rescue_saccades.csv,session_time_s,s,Instante do evento (SessionTime).
rescue_saccades.csv,phase,texto,Fase no momento do evento.
rescue_saccades.csv,activity,texto,Atividade no momento do evento.
rescue_saccades.csv,from_target,texto,Alvo olhado imediatamente antes (origem da sacada).
rescue_saccades.csv,from_aoi,texto,AOI de origem.
rescue_saccades.csv,to_target,texto,Alvo de tutorial olhado (destino da sacada).
rescue_saccades.csv,to_aoi,texto,AOI de destino.
rescue_saccades.csv,gaze_entropy_bits,bits,Entropia do olhar no instante do evento.
rescue_saccades.csv,pre_rescue_entropy_bits,bits,Entropia média na janela imediatamente anterior ao evento.
confusion_episodes.csv,start_s,s,Início do episódio de confusão.
confusion_episodes.csv,end_s,s,Fim do episódio de confusão.
confusion_episodes.csv,duration_s,s,Duração do episódio.
confusion_episodes.csv,activity,texto,Atividade predominante no episódio.
confusion_episodes.csv,mean_gaze_entropy_bits,bits,Entropia média do olhar no episódio.
confusion_episodes.csv,n_targets_scanned,contagem,Número de alvos distintos varridos no episódio.
confusion_episodes.csv,targets,texto,Lista de alvos varridos (separados por |).
timeseries_windowed.csv,window_start_s,s,Início da janela temporal.
timeseries_windowed.csv,window_end_s,s,Fim da janela temporal.
timeseries_windowed.csv,dominant_activity,texto,Atividade predominante na janela.
timeseries_windowed.csv,n_samples,contagem,Amostras na janela.
timeseries_windowed.csv,mean_residual_pupil_mm,mm,Média da pupila residual na janela.
timeseries_windowed.csv,mean_raw_pupil_mm,mm,Média da pupila bruta na janela.
timeseries_windowed.csv,mean_gaze_entropy_bits,bits,Média da entropia do olhar na janela.
timeseries_windowed.csv,mean_target_switch_rate_hz,Hz,Média da taxa de troca de alvo na janela.
timeseries_windowed.csv,task_dwell_s,s,Tempo em VOI de tarefa na janela.
timeseries_windowed.csv,tutorial_dwell_s,s,Tempo em tutorial na janela.
timeseries_windowed.csv,support_dwell_s,s,Tempo em suporte genérico na janela.
timeseries_windowed.csv,confusion_frac,fração 0-1,Fração da janela marcada como confusão.
timeseries_windowed.csv,n_rescue_saccades,contagem,Sacadas de socorro iniciadas na janela.
summary_by_activity.csv,item_dwell_s,s,Tempo olhando itens interativos na atividade.
summary_by_activity.csv,machine_dwell_s,s,Tempo olhando máquinas na atividade.
eckert_model.json,model,texto,Modelo de mapeamento luminância->pupila (log/poly2/sigmoid).
eckert_model.json,baseline,mm,Diâmetro pupilar de base do modelo Eckert.
eckert_model.json,k,adimensional,Ganho k do reflexo fotomotor.
eckert_model.json,epsilon,adimensional,Termo de regularização do log (evita log(0)).
eckert_model.json,w_fix,adimensional,"Peso da luminância do alvo fixado vs. fundo (Eckert et al., 2022)."
eckert_model.json,l_background,rel.,Luminância de fundo assumida.
